job_title,company,location,job_description,skills,job_category
data scientist,One Drop,"new york, ny","we’re seeing a passionate data scientist to join the team at one drop. data science is all about providing startlingly novel and refreshingly useful decision support directly to one drop’s end users. for example, one drop is the first company to make blood glucose prediction available to the majority of people with diabetes. working with one drop’s behavioral and health science, diabetes education, engineering, and product teams, we invent new ways to convert over 11 billion health data points into daily support and suggestions for over 2 million users through the one drop app.

we look at a wide variety of health and lifestyle data provided by users both actively, through logging, and passively, from phones and wearables. our job is to help inform the hundreds of decisions that people with chronic conditions have to make every day, to empower users to take the actions that will help them get healthier. there are a lot of directions to explore, and each team member is expected and enco","help, people, make, health, users",data scientist
point72 data scientist,"Point72
3.9","new york, ny","about point72
point72 asset management is a global firm led by steven cohen that invests in multiple asset classes and strategies worldwide. resting on more than a quarter-century of investing experience, we seek to be the industry’s premier asset manager through delivering superior risk-adjusted returns, adhering to the highest ethical standards, and offering the greatest opportunities to the industry’s brightest talent. we’re inventing the future of finance by revolutionizing how we develop our people and how we use data to shape our thinking. for more information, visit www.point72.com/working-here.
a career with point72's market intelligence group
market intelligence is shaping point72 for the future by combining the most innovative data sources, analysis, and investment tools with the firm’s traditional strengths at deep fundamental analysis of how companies and industries operate. market intelligence finds, tests, analyzes, and models alternative data; conducts deep fundamental r","future, firm, intelligence, market, asset",data scientist
"data scientist ii, data, models & decisions","LivePerson, Inc.
3.3","new york, ny","liveperson is a transformational force in how brands and consumers communicate. with over 18,000 customers including citi, hsbc, disney, verizon, and home depot, we are on a mission to make life easier for people and brands everywhere through trusted conversational ai. we believe in a future where conversations are the norm for getting your intentions fulfilled - whatever they are.

we are an innovative, intent-driven company that believes in building the future and we are looking for growth minded, unconventional thinkers to join the team.

you will thrive here if:

you can operate in a fast paced, dynamic environment

you nerd out about ai, how it can be applied, or how you can learn more about it (don't worry we'll help)

you believe data-led decision making is the norm

you see feedback or failure as motivation to learn and to grow

you relate to our core principles and want to work with experts in their respective fields

reporting to the director of data, models, and decisions (d","future, ai, learn, believe, brands",data scientist
data scientist,Microagility,"new york, ny","job description


data scientist will be responsible for researching and building machine learning and natural language processing applications. you will work as part of our client highly collaborative r&d team, and your solutions will directly and rapidly impact our client business. this includes researching and developing models, algorithms, and applications; analyzing raw source data and derived data; presenting findings; and building tools.

job responsibilities:
develop an understanding of our client platform
use your machine learning expertise to research and recommend the best approaches to solving our technology and business problems
design, implement, and validate your solutions using scala or python on a large state-of-the-art cluster
work with our engineering teams to integrate your solutions into client platform
requirements & preferred skills:
a ph.d., (or master’s degree plus at least 5 years’ relevant experience), in computer science, statistics, linguistics, mathematics","building, platform, applications, solutions, client",data scientist
data scientist/data architect,Financial Services Company,"new york, ny","job description
sr. big data architect:

# capable of designing an entire architecture end to end

# etl workflows

# batch and stream processing

# data model design

# assess new technologies, tools and frameworks, compare vendors, recommend tech-stack

- strong in either java, scala or python (one of them)

- experience in kafka, spark, stream processing, hadoop & hdfs

- nice to have: cloud, azure, snowflake, basic knowledge of stocks trading, basic machine learning

- based on ny: remote now but it'll be onsite/midtown when covid settles down.","covid, snowflake, processing, end, basic",data scientist
ai - quantitative research scientist,"Bloomberg
3.8","new york, ny","job requisition number:82468

who are we? bloomberg's artificial intelligence (ai) group: researchers and engineers who have a passion for solving complex problems. our charter: to extract and identify relevant, meaningful, tradable, and actionable information (such as pricing, earnings, recommendations, and major events) from data (including news, web, social media, and structured data) in real-time. as our customers rely on this information to make swift financial decisions, we guarantee precision, accuracy, and latency numbers beyond most academic and industry standards.

we aren't just building customer-facing products, as the infrastructure and algorithms we develop are themselves used across the company. we publish papers, attend conferences, organize workshops, and contribute back to the larger data science community whenever we can (see https://www.techatbloomberg.com/nlp/ and https://bloomberg.com/company/d4gx/).

we are seeking researchers to join our effort to enrich intelli","academic, nlp, information, com, researchers",other
data scientist,"Koch Industries
3.6","new york, ny","onpoint is a connected solutions business within koch engineered solutions, a unit of koch industries, inc., that leverages unique engineering capabilities and expertise in combination with digital technology. the onpoint solutions portfolio drives advanced, actionable insights to help customers identify root causes, analyze performance, and optimize equipment as well as plant operations to improve efficiency, yield, reliability, environmental performance, and safety.

onpoint digital solutions is looking for a data scientist to join our competitive data analytics and software development team. onpoint is a new koch engineered digital solutions company, focused to provide actionable insights for our customers to enable real time monitoring and optimization of their operations. onpoint combines our deep subject matter expertise in combustion, distillation, separation, filtration with digital technology to deliver new solutions and technology which will create value for our customers. th","technology, actionable, customers, solutions, digital",data scientist
data scientist - altdata,"Huxley
3.3","new york, ny","data scientist - altdata

location: new york, united states

salary: us$150000 - us$250000 per annum + competitive

sectors: asset management

job type: permanent

apply for this job
we are interested in individuals coming from both tech companies and data vendors. we're particularly excited if you've worked with alternative data and large unstructured datasets. this is an exceptional opportunity to solve problems related to alpha generation and trading, and advance data driven products. we are seeking individuals with high-impact, data driven applications in industry and academia.

you will have the opportunity to partner up with quant researchers, technologists, and academics beyond traditional finance to develop creative solutions to the world's most challenging problems across markets and industries. additionally, you will have the flexibility and opportunity for tremendous career growth.

the ideal candidate / successful individual will have experience with:
minimum of a bachelor'","problems, driven, data, individuals, opportunity",data scientist
data analyst,"NYU Langone Health
4.1","new york, ny","nyu grossman school of medicine is one of the nation’s top-ranked medical schools. for 175 years, nyu grossman school of medicine has trained thousands of physicians and scientists who have helped to shape the course of medical history and enrich the lives of countless people. an integral part of nyu langone health, the grossman school of medicine at its core is committed to improving the human condition through medical education, scientific research, and direct patient care. for more information, go to med.nyu.edu, and interact with us on facebook, twitter and instagram.

position summary:

we have an exciting opportunity to join our team as a data analyst.

the data analyst will work directly with dr. horwitz, the director of the division of healthcare delivery science and the center for healthcare innovations and delivery science, as well as the rapid rct lab. we are seeking a qualified data analyst to provide support for data management and analyses across the rapid rct portfolio o","delivery, analyst, medical, medicine, school",data analyst
data scientist,"Gate Staffing LLC
2.8","new york, ny","job description
personalize the experience for millions of customers using advanced machine learning algorithms to improve adherence and our customer experience.

use advanced optimization and machine learning techniques to increase the relevance and customer value of our industry-leading loyalty program.

improve operational efficiency and effectiveness within our supply chain, pharmacy operations, marketing with an integrated team of data engineers, data scientists, and solution strategists.

partner with business leaders and opportunities to use data science to improve our customer experience and business results.

an ideal candidate will have the following technical experience and background:
experience within advanced analytics function of a corporation, tech startup or a consulting firm
deep expertise in modern machine learning and artificial intelligence techniques
expert level proficiency with common modeling tools and frameworks, e.g. python, r, scala, tensorflow, etc.
ability","machine, advanced, improve, customer, experience",data scientist
data scientist,ConcertAI,"new york, ny","about concertai

concertai is the leading provider of precision oncology solutions for biopharma and healthcare, leveraging the largest collection of research-grade real-world data and the only broadly deployed oncology-specific ai solutions. our mission is to improve translational sciences; accelerate therapeutic clinical development; and provide new capabilities for post-approval studies to accelerate needed new medical innovations to patients and to improve patient outcomes.
concertai has emerged as one of the highest growth technology companies in real-world data and ai, backed by industry leading private equity companies: symphonyai, declaration partners, maverick ventures, and alliance|bernstein.

role summary

as a data scientist at concertai you will be responsible for data exploration, analysis, and predictive/descriptive modeling on patient data for various stakeholders in the oncology and healthcare domain. you will report to the vice president of data products. you should h","ai, data, patient, accelerate, oncology",data scientist
"data scientist, recommendations","Tapestry
3.4","new york, ny","search by keyword

search by location

clear

×

send me alerts every days
alert frequency in every certain days
create alert

form.emailsubscribe-form {
display: none;
}
×

send me alerts every days
alert frequency in every certain days

share this job

addthis
email
facebook
twitter
linkedin
pinterest

apply now »



data scientist, recommendations

tapestry

new york, ny, us

#job-location.job-location-inline {
display: inline;
}

explore the possibilities across our global house of brands.

defined by inclusivity rather than exclusivity, tapestry embraces the exploration of individuality and invests in helping you grow personally and professionally. every individual in our global house has the opportunity to make an impact, learn and be part of our growing and unique story.

at tapestry, we have the freedom to express ourselves and run with our best ideas across coach, kate spade new york, and stuart weitzman. we share a profound belief in both our individual and collective potenti","individual, share, location, york, search",data scientist
"data scientist, analytics & insights","Tapestry
3.4","new york, ny","search by keyword

search by location

clear

×

send me alerts every days
alert frequency in every certain days
create alert

form.emailsubscribe-form {
display: none;
}
×

send me alerts every days
alert frequency in every certain days

share this job

addthis
email
facebook
twitter
linkedin
pinterest

apply now »



data scientist, analytics & insights

tapestry

new york, ny, us

#job-location.job-location-inline {
display: inline;
}

explore the possibilities across our global house of brands.

defined by inclusivity rather than exclusivity, tapestry embraces the exploration of individuality and invests in helping you grow personally and professionally. every individual in our global house has the opportunity to make an impact, learn and be part of our growing and unique story.

at tapestry, we have the freedom to express ourselves and run with our best ideas across coach, kate spade new york, and stuart weitzman. we share a profound belief in both our individual and collective po","individual, share, location, york, search",data scientist
data scientist,"CKM Advisors
2.9","new york, ny","data scientist


new york, ny | full time

we’re seeking data scientists who will help solve critical business problems and derive valuable insights for our clients. our teams apply business intuition along with a diverse set of methods and algorithms, including but not limited to, advanced analytics, machine learning, text mining, process mining, network analysis, and data visualization to improve operations. the ideal candidate is capable of ingesting, processing and interpreting data sets that vary widely in size, structure, complexity, and dimensionality. they are quick to adapt to new technology, and passionate about data-driven business problem solving for business operations. they also thrive in cross-functional teams and can clearly communicate technical concepts to non-technical individuals.

ckm is on the forefront of leveraging data analytics to inform strategic decision-making and drive operational improvement for clients. our number one asset is our people, who shape the u","clients, operations, data, business, mining",data scientist
machine learning engineer/scientist,"Jane Street
4.8","new york, ny","about the position


jane street is seeking exceptional candidates for the role of senior machine learning engineer/scientist.

responsibilities:
help lead the effort to expand and improve jane street's ml infrastructure and data pipeline.
collaborate with teams of researchers and traders in our offices around the world to design and train ml models.
invent new techniques when necessary to deal with the specific problems jane street works on.
about you
at least three years experience building ml infrastructure and production models in an industrial setting.
very strong coding skills, including experience developing and deploying large software projects.
deep experience with applying one or more major ml packages (e.g. tensorflow, pytorch) to very large data sets.
a desire to push the boundaries of ml to better deal with the problems specific to financial data including low signal-to-noise ratios and non-stationarity.
no finance background is necessary.","large, infrastructure, specific, necessary, ml",other
point72 healthcare data scientist,"Point72
3.9","new york, ny","about point72
point72 asset management is a global firm led by steven cohen that invests in multiple asset classes and strategies worldwide. resting on more than a quarter-century of investing experience, we seek to be the industry’s premier asset manager through delivering superior risk-adjusted returns, adhering to the highest ethical standards, and offering the greatest opportunities to the industry’s brightest talent. we’re inventing the future of finance by revolutionizing how we develop our people and how we use data to shape our thinking. for more information, visit www.point72.com/working-here.
role
a long/short healthcare investment team is looking to add a data scientist to lead data research and strategy. this person will build the team’s workflow and infrastructure for data analysis and research across healthcare, fundamental, and market data to drive insights and impact investment decisions.
job responsibilities
apply data and analytical skills throughout the investment pr","industry, healthcare, data, investment, asset",data scientist
senior data scientist - automated marketing,"Spotify
3.8","new york, ny","we are looking for a senior data scientist with a marketing analytics background to join the spotify product insights team in new york city. as part of the growth opportunities department, you will lead insights for a new team focused on automated marketing for new user acquisition.

the automated marketing product area represents the art and science of bringing the right content to the right users, at scale. thanks to the power of machine learning, the depth of spotify’s catalog and our large userbase, we can enable technology that allows us to automate, measure and optimize the effectiveness of our acquisition marketing campaigns across paid channels.

acquisition marketing focuses on driving efficient and effective user acquisition through advertising and we are pioneering the way in which we use data, analytics and advanced data science to execute and optimize our global marketing. you will measure and provide optimization recommendations for acquisition marketing campaigns, improv","user, automated, measure, acquisition, marketing",data scientist
data scientist,"Averity
5.0","new york, ny","we are the most sought after hedge fund in new york city, and we are hiring a senior data scientist to join a new role of ours. if you are excited about new challenges and becoming a leader in our new space, then this is the place for you.

what is the job?

this is a new role as a senior data scientist in one of our fund's most important divisions. you will be using your machine learning and quantitative experience to apply data science analysis to our private equity portfolio for the first time. your analysis will help us both expand out our portfolio to help in acquisitions, as well as to help implement advanced analytics for use with our investments to aid in their profitability.

you will be helping to build out a new team in this effort. since this is a new role, there is no team in place currently, so you will help to build it going forward.

this role will involve ""customer"" interaction since you will be working closely with our portfolio companies to gather data, implement dat","place, role, help, portfolio, new",data scientist
data scientist,"The CARIAN Group
4.2","new york, ny","data scientist


the data scientist will advocate, evangelize and build data-fueled products that help our customers improve their capital project delivery. you'll dig in and become an expert on our energy sector datasets. you will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables.

the data scientist will work with cross-functional team members to identify and prioritize actionable, high-impact insights across a variety of core business areas. you will lead applied analytics initiatives that are leveraged across the breadth of our solutions for the technology sector. you will research, design, implement and validate cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes.

you will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of ad","lead, scientist, core, analytic, applied",data scientist
machine learning & data engineer (remote),"Jun Group Productions LLC
4.7","new york, ny","jun means truth, and our culture is about openness and honesty. jun group is a mobile advertising company that delivers beautiful full-screen video and display ads to millions of people. advertisers like audi, merck, intel, and webmd trust jun group because everything we do is brand safe, viewable, and transparent.we are looking for a software developer to join our amazing server team. this position is full-time and 100% remote with the option of working on-site once it is safe to do so. jun group will only consider candidates for this position who are currently legally authorized to work in the united states.who you are* you enjoy a fun, creative, and engaging working atmosphere free of brilliant jerks* you want to be part of a small team inside a large company with massive opportunity for growth* you enjoy collaboration with other teams including product, biz dev, and our in-house qa team* you eagerly dig into complex engineering problemswhat you'll do* contribute to exciting greenfi","advertising, team, enjoy, safe, group",data engineer
data scientist,GradTests (gradtests.com),"new york, ny","the business

gradtests.com is a leading provider of practice psychometric tests to graduates, students and young professionals.

the role

a data science all rounder role. the core purpose of the role is to build models to improve the product, the customer experience and ultimately the business. we're looking for someone with a nice blend of technical skills, and softer skills like business acumen, decision making and communication skills.

you'll do things like:
conceive, devise, create, implement and fine tune data science models to solve a range of business problems, from customer churn through to
set up, run and analyse a/b experiments for the website and email marketing campaigns
help devise and layout a high quality infrastructure, upon which future data science can flourish
help up skill other analytical team members into advanced data science techniques
produce ad hoc analyses
and let's be honest, a whole load of data wrangling!
skills and experience

non negotiables:
sql
pyth","role, like, business, science, skills",data scientist
data scientist,"Committee of 100
2.8","new york, ny","job description
the committee of 100 (c100) is seeking a data scientist for a full time position. the data scientist will work with the president to use data and informational metrics to measure the impact of c100, to help further build a brand identity, to help improve internal decision-making processes, and to raise our public profile. this position will be responsible for proactively gathering data and producing data-driven insights and developing visualizations to advance the strategic position of c100.

the ideal candidatefor this position has an exceptional eye for detail, expertise as a data scientist, and a solid understanding of popular data analysis tools. he/she will work closely across c100's programs and datasets to understand objectives and identify trends in various studies.

responsibilities:
responsible for researching, collecting, analyzing, storing and creating data related to c100’s programs and its dual missions
responsible for overseeing data presented across surv","scientist, programs, responsible, position, data",data scientist
data scientist / statistician,"NJF Global Holdings
4.2","new york, ny","job title: data scientist / statistician
job type: permanent
emp type: full-time
salary:
negotiable
location: new york, united states
job published: 2019-08-05
job id: 41456

job description


our client is looking for a data scientist/ statistician to join their new york office.

responsibilities:
serve as expert statistician/data scientist on discretionary investment team
test research hypotheses and assumptions of portfolio manager and investment analysts by designing methodology and writing necessary code to perform backtesting, cross-validation, event studies, bayesian data analysis, etc.
test and identify the most predictive and robust statistical, machine learning, and deep learning methods to forecast factors, features, metrics, drivers, etc. relevant to portfolio manager and investment analysts in making investment decisions
with guidance from and in collaboration with portfolio manager and investment analysts help select relevant data sets
work closely with team’s data engine","job, manager, analysts, portfolio, investment",data scientist
data analyst,"DMGT
4.0","new york, ny","the data analyst is an integral member of the global commercial data and analytics team driving commercial insights and opportunities for the world's largest english language newspaper website, dailymail.com. this is a unique opportunity to work in a fast-paced entrepreneurial environment, with wide exposure to ad-tech and big data platforms.

the data analyst will be responsible for maintaining and optimizing the global commercial data systems, identifying methods to maximize commercial performance and providing business insights to internal stakeholders. this individual will have a genuine passion for digital media and data technology.

dailymail.com is a division of uk-based dmgt, an international portfolio of digital, information, media and events businesses, which employs over 12,000 people and is listed on the london stock exchange (lse:dmgt.l).

specific responsibilities
participate in cross-functional projects using advanced data modeling and analysis techniques to discover ins","digital, com, data, media, commercial",data analyst
data scientist (java),"ubergig
4.9","new york, ny","about us:
we are able to operate at a low cost while delivering advanced capabilities to our clients by building and operating highly automated systems in all aspects of its business. we offer award-winning desktop, mobile and web applications which provide our clients with the tools they need to be successful. the company was founded by a software engineer to rewrite the rules of trading by automating anything and everything. software development is the lifeblood of our firm, and it shows. our engineers work with latest technology, command respect in the firm, and have competitive compensation packages.

we are looking for a data scientist. the successful candidate will execute analytical tasks on large data sets to support decision makers and provide insight and reports about our platforms. the data scientist role will use data to help us better understand who our clients are, how they engage with our products and services and how we can better serve them by identifying interesting a","software, better, successful, firm, clients",data scientist
data scientist,"OneWire
4.0","new york, ny","description

we are looking for several of the best and brightest data scientists to participate in a confidential marketplace called matchbook that will connect you with the most prestigious investment and asset management firms / hedge funds in new york city.

here's how it works:
apply to this job by creating an account on onewire and uploading your resume;
upon acceptance into the marketplace, a recruiter will reach out and schedule brief 1 on 1 phone interview with you;
if you qualify, your profile will be featured and then listed in front of the best investment management firms seeking individuals like you;
receive interview requests, field offers and get hired;
and here's the best part - we will pay you a $500 signing bonus on the first day of your new role!
if you want the hard to find job opportunities in the marketplace to directly choose you, as opposed to endless job searching across different sites and recruiters, then please apply to be included in the marketplace. space ","choose, job, apply, best, investment",data scientist
data scientist,"Thomas
3.4","new york, ny","thomas is looking for a data scientist to help build a world-class data team that will support and guide thomas’ business strategy and operations. the right candidate will be a problem solver who is obsessive about all things data, and is enthusiastic about working with cutting-edge techniques, technologies and applications.

the thomas data analytics team uses data-driven insights to fuel strategic growth for clients. you will apply your knowledge and skills in driving insights across our product platforms to come up with data powered solutions for our clients. we believe that our data should be put to work to bring the best ideas and stories to our clients!

you’ll solve complex marketing and business challenges – from cross-channel media and customer experience optimization, targeting and business strategy – by accessing, integrating, manipulating, mining, modeling a wide array of data sources.

this is an opportunity to work with a newly assembled team of data analysts, engineers a","business, insights, strategy, clients, data",data scientist
data scientist,"TBWA\Chiat\Day
2.7","new york, ny","as a data scientist at tbwa\chiat\day new york, you will join a close-knit and innovative data science team that is pioneering the use of data as a core component of creative storytelling.

this is not just another data wrangling job. as part of one of the world's leading creative agencies, the tbwa data team works closely with strategy across global clients and new business. every day is a little bit different and you will be challenged to evolve the role of data in the creative process.

the ideal candidate believes in the creativity of data. having a curious-minded approach to research, problem solving and supporting multiple client work streams will lead to success on this team and in this agency.

on a day to day level, the data scientist is responsible for collecting data from disparate sources, merging datasets, performing exploratory analyses, and extracting key insights. we often develop custom approaches and tools, so expertise with r or python and ownership of a project will","agency, team, data, creative, day",data scientist
statistician (data scientist) *12 month roster* *direct hire*,"Internal Revenue Service
3.5","new york, ny","the u.s. department of the treasury has a distinguished history dating back to the founding of our nation. as the steward of u.s. economic and financial systems, treasury is a major and influential leader in today's global economy. we have over 100,000 employees across the country and around the world. come join the department of the treasury and invest in tomorrow.
see other information for locations
positions are to be filled in the large business & international (lb&i), data solutions division.
eight (8) positions are to be filled in any of the following locations:
birmingham, al
fayetteville, ar
little rock, ar
phoenix, az
el monte, ca
glendale, ca
laguna niguel, ca
los angeles, ca
long beach, ca
oakland, ca
sacramento, ca
san diego, ca
san francisco, ca
san jose, ca
santa ana, ca
lakewood, co
hartford, ct
new haven, ct
norwalk, ct
washington, dc
newark, de
miami, fl
ft. myers, fl
jacksonville, fl
maitland, fl
plantation, fl
tampa, fl
west palm beach, fl
atlanta, ga
honolulu, hi
de","department, locations, positions, san, ca",data scientist
data scientist,"Harry and David, LLC
3.4","carle place, ny","key competencies:* strong analytical mind, problem-solving skills and foundation in statistics* ability to collaborate well with individuals on-site and in remote offices* intermediate to advanced level of expertise using sas, sql, tableau, python* outstanding analytical skill set: a clear expert in the analytics/ data science field* experience working with large volumes of data, combining and reconciling data from different sources* experience in ms office applications with very strong excel skillsrequirements:* minimum b.s. in mathematics, statistics, data analytics or related quant field* 5+ years in a similar analytical role generating insights through data analytics* strong communication skills: both written and verbal* ability to work independently on multiple concurrent assignments* self-driven for continual learning and ongoing training/development* highly organized, detail-oriented","analytics, field, statistics, strong, analytical",data scientist
data science specialist usa,"Mphasis limited
3.3","new york, ny","note: this position is accepting applicants for- new york and texas.skills:excellent knowledge of nlp and ml alogrithms.excellent understanding of machine learning techniques and algorithms, such as k-nn, naive bayes, svm, decision forests, etcexperience with common data science toolkits, such as r, weka, numpy, matlab, etc {{depending on specific project requirements}}. excellence in at least one of these is highly desirablegreat communication skillsexperience with data visualization tools, such as d3.js, ggplot, etc.proficiency in using query languages such as sql, hive, pig {{actual list depends on what you are currently using in your company}}experience with nosql databases, such as mongodb, cassandra, hbase {{depending on project needs}}good applied statistics skills, such as distributions, statistical testing, regression, etc.qualification:* tech (computer science engineering/ it)/ mcawhat's in for you?* at mphasis, we promise you the perfect opportunity of building technical exc","nlp, skills, using, project, excellent",other
senior data scientist,"Foursquare
2.5","new york, ny","about foursquare:

foursquare is the leading independent location technology platform, powering business solutions and consumer products through a deep understanding of location. over 1,000 clients—including more than 50% of the fortune 100—choose foursquare.

foursquare's toolkit includes placed powered by foursquare, audiences powered by factual and proximity powered by factual, analytics solutions, places, pilgrim sdk and pinpoint. together, these products empower brands to measure foot traffic lift via multi-touch attribution; deliver proximity-based advertising; analyze and identify trends; drive deeper engagement via foursquare's industry-leading developer tools, which have been selected by 200,000 developers including accuweather, apple, samsung, microsoft, snapchat, twitter and uber; and optimize advertising campaigns across hundreds of audiences. over 14 billion consumer-verified place visit confirmations help us keep our map and models fresh and up-to-date.

foursquare has mo","location, leading, 000, consumer, advertising",data scientist
data scientist,Glean Analytics Inc.,"new york, ny","about glean (currently in stealth mode)

after managing vendor expenses, wrangling budgets, and feeling the pain of wasted money due to poor visibility + manual processes at previous companies, we started dreaming about a better way to manage spend.

welcome to glean - a data-powered spend intelligence
solution that saves companies money by providing complete up-to-date visibility, line-item level insights, anomaly detection, and the tools you need to action on them: approvals, payments, forecasting, benchmarking, and more.

we are a data-first startup, well funded by leading vcs, with an ambitious mission and a growing waitlist! our culture is rooted in experimentation, intellectual curiosity, and openness — providing the ownership and opportunity needed to learn, to grow, and to make something awesome together.

join us!

about this role (remote applicants ok)
we are building the next billion-dollar business in enterprise saas. we have an amazing founding team, with experts in produc","curiosity, forecasting, payments, providing, companies",data scientist
"quantitative developer, data & institutional markets","Ripple
4.4","new york, ny","ripple is growing and we are looking for a quantitative developer to help build tools to monitor market activity and liquidity for xrp as we scale our payment products in new markets around the world. you'll partner with our institutional markets team to help ripple understand the dynamics of fx + crypto markets based on data. ripple's vision of an internet of value requires efficient global payments settlement, and xrp liquidity is a core component of making that vision a reality.

ideal candidates will have demonstrated technical excellence in designing, building and delivering reliable markets tools and analysis, based on a deep understanding of fx and crypto market infrastructure and dynamics. you are adept at communicating across teams to drive cross-functional alignment and have the ability to think through how markets will adapt to leverage paradigm-shifting technology. you have experience as a quantitative developer or data scientist and a passion for the craft of software engi","market, quantitative, vision, developer, markets",other
"data scientist, two sigma private investments","Two Sigma
4.4","new york, ny","sightway capital is a two sigma company focused on private equity investments. we employ a principal mindset and flexible capital approach to building successful business platforms with experienced operators and strategic partners. the team at sightway capital thinks long-term, targeting business opportunities that we believe afford both asymmetric risk rewards and enterprise value creation over time. sightway’s unique platform building approach affords team members the opportunity to participate in each investment’s growth and success from an early stage. data science is key to sightway’s strategy, and we aim to leverage two sigma’s expertise, data sources and analytical models in order to make informed investment decisions, and create enterprise value and positive outcomes for our portfolio companies.

sightway capital is building a world class data science team in order to execute on this vision. the team has a multifaceted data driven private investment strategy that encompasses pr","approach, building, order, investment, capital",data scientist
"senior data scientist, game analytics","Rockstar Games
4.1","new york, ny","at rockstar games, we create the games we would want to play ourselves.

a career at rockstar is about being part of a team working on some of the most creatively rewarding, large-scale projects to be found in any entertainment medium. you would be welcomed to a friendly, inclusive environment where you can learn, and collaborate with some of the most talented people in the industry.

rockstar games is on the lookout for talented sr. data scientists who possess a passion for both games, and big data. this is a full-time permanent position based out of rockstar's unique game development studio in the heart of new york city.

what we do
the rockstar analytics team provide insights and actionable results to a wide variety of stakeholders across the organization in support of their decision making.
we partner with multiple departments across the company to design and implement data and pipelines.
we collaborate as a global team to develop cutting-edge data pipelines, data products, data mo","pipelines, collaborate, data, talented, games",data scientist
data scientist,"TechProjects
4.8","new york, ny","hi,

greetings of the day!!!

looking for data scientist for below requirement.

job title: data scientist with sql, python, r, tableau.

location: manhattan, ny

duration: 12 months plus

interview mode: f2f mandatory.

description:

experience requirements
5+ years as a data scientist leading efforts to identify relevant questions, collect data from a multitude of different data sources, organize the information, translate results into solutions, and communicate findings in a way that positively affects decisions
5+ years working with sql, python, r, tableau and other data science programing languages and tools
strong quantitative and problem-solving skills
experience and passion for data wrangling, data cleaning, and etl
experience working with administrative data sets
experience with statistical modelling and machine leaning analysis
experience with bayesian analysis
proficiency in gis concepts and software (arcgis, google maps, qgis, carto)
attention to detail for documenting work","sql, scientist, tableau, experience, data",data scientist
data scientist,"Spring Health
3.6","new york, ny","***please note: all hiring and recruitment at spring health is handled with a valid '@springhealth.com' email address only or from recruitment firms @hays.com, @oxeonpartners.com, @neptunepeople.com, @rivierapartners.com, or @swingtalent.com. if you receive a message from a sender whose domain is not @springhealth.com, please beware that those communications are not authorized or coming from spring health. ***

our mission: helping individuals and organizations thrive by eliminating every barrier to mental health.

spring health is a comprehensive mental health benefit for employers. we help employees understand their mental health issues and connect with best-in-class providers to get the right treatment at the right time.

we are an award-winning, passionate, and mission-driven team with the support of leaders in psychiatry, and backed by prominent vcs including northzone, rethink, rre, and general catalyst. from early detection to full recovery, spring health is the only clinically ","communications, mission, right, health, com",data scientist
senior data scientist,"Grubhub
3.8","new york, ny","grubhub is dedicated to connecting hungry diners with our wide network of restaurants across the country. our innovative technology, easy-to-use platforms and streamlined delivery capabilities make us an industry leader today, and in the future of online food ordering.
we strive to create a workplace that reflects the diversity of our customers and the communities we serve. when you join our team, you become part of a community that works together to innovate, solve problems, take risks, grow, work hard and have a ton of fun in the process!
why work for us
we have a fast-paced environment and that is what our teams thrive on. grubhub believes in empowering people and offering opportunities for development, as well as professional growth. we value strong, positive relationships in all areas: with each other, our customers and our greater community. want to be a part of a team of diverse collaborators in an authentically fun culture? if so, we want to talk to you - and hear what’s your f","food, customers, want, community, fun",data scientist
data scientist,"SkillSoniq
5.0","new york, ny","job description
client jd below:

we need a technical contractor to assist on building out data cleaning and manipulation tools for our machine learning system. the contractor will sit along side our data scientists to productionize and optimize the code that we have for data ingestion and optimization, and if necessary help to build out the machine learning tools that we are using. a strong background in python and sql is a must as that is what our systems are built upon. additional experience with working with google compute and cloud services is a plus as our algorithms are being calculated on those systems. we are located in the flatiron district.
company description
skillsoniq hires great talent for projects within skillsoniq or with our clients. below is the hiring process we follow:
we review applications and resumes for relevant skills and experience
profiles that get short-listed are contacted by skillsoniq on next steps
you then go through a few rounds of interviews for the p","ingestion, learning, systems, tools, machine",data scientist
data scientist - demand forecasting,"Amazon
3.9","new york, ny","business/team introduction
the amazon demand forecasting team seeks a data scientist with strong analytical and communication skills to join our team. we develop sophisticated algorithms that involve learning from large amounts of data, such as prices, promotions, similar products, and a products attributes, in order to forecast the demand of over 190 million products world-wide. these forecasts are used to automatically order more than $200 million worth of inventory weekly, establish labor plans for tens of thousands of employees, and predict the companys financial performance. the work is complex and important to amazon. with better forecasts we drive down supply chain costs, enabling the offer of lower prices and better in-stock selection for our customers.
data scientist responsibilities
in a typical day, you will work closely with talented machine learning scientists, statisticians, software engineers, and business groups. your work will include cutting edge technologies that ena","products, order, million, demand, amazon",data scientist
